anc.pop	admx.pop	sex	proportion	norm.proportion	bootstrap
African	MXL	m	0.035	0.0327102803738318	16
Native_American	PEL	f	0.432	0.453781512605042	16
European	PEL	f	0.018	0.0189075630252101	16
African	PEL	f	0.026	0.0273109243697479	16
Native_American	PEL	m	0.36	0.343511450381679	16
European	PEL	m	0.164	0.156488549618321	16
African	PEL	m	0	0	16
Native_American	PUR	f	0.127	0.128542510121457	16
European	PUR	f	0.244	0.246963562753036	16
African	PUR	f	0.123	0.124493927125506	16
Native_American	PUR	m	0	0	16
European	PUR	m	0.5	0.495049504950495	16
African	PUR	m	0.005	0.00495049504950495	16
Native_American	ACB	f	0.003	0.00298210735586481	17
European	ACB	f	0	0	17
African	ACB	f	0.5	0.497017892644135	17
Native_American	ACB	m	0	0	17
European	ACB	m	0.143	0.143863179074447	17
African	ACB	m	0.354	0.356136820925553	17
Native_American	ASW	f	0.007	0.007	17
European	ASW	f	0.028	0.028	17
African	ASW	f	0.465	0.465	17
Native_American	ASW	m	0.056	0.056	17
European	ASW	m	0.184	0.184	17
African	ASW	m	0.26	0.26	17
Native_American	CLM	f	0.267	0.306896551724138	17
European	CLM	f	0.14	0.160919540229885	17
African	CLM	f	0.028	0.032183908045977	17
Native_American	CLM	m	0	0	17
European	CLM	m	0.5	0.441696113074205	17
African	CLM	m	0.066	0.0583038869257951	17
Native_American	MXL	f	0.456	0.455089820359281	17
European	MXL	f	0.044	0.0439121756487026	17
African	MXL	f	0.001	0.000998003992015968	17
Native_American	MXL	m	0.027	0.0270541082164329	17
European	MXL	m	0.424	0.424849699398798	17
African	MXL	m	0.048	0.0480961923847695	17
Native_American	PEL	f	0.5	0.491159135559921	17
European	PEL	f	0	0	17
African	PEL	f	0.009	0.00884086444007859	17
Native_American	PEL	m	0.254	0.258655804480652	17
European	PEL	m	0.215	0.218940936863544	17
African	PEL	m	0.022	0.0224032586558045	17
Native_American	PUR	f	0.131	0.141774891774892	17
European	PUR	f	0.233	0.252164502164502	17
African	PUR	f	0.098	0.106060606060606	17
Native_American	PUR	m	0	0	17
European	PUR	m	0.5	0.464684014869888	17
African	PUR	m	0.038	0.0353159851301115	17
Native_American	ACB	f	0.002	0.00199203187250996	18
European	ACB	f	0	0	18
African	ACB	f	0.5	0.49800796812749	18
Native_American	ACB	m	0	0	18
European	ACB	m	0.119	0.119477911646586	18
African	ACB	m	0.379	0.380522088353414	18
Native_American	ASW	f	0.035	0.0366108786610879	18
European	ASW	f	0.054	0.0564853556485356	18
African	ASW	f	0.389	0.406903765690377	18
Native_American	ASW	m	0	0	18
European	ASW	m	0.16	0.153256704980843	18
African	ASW	m	0.362	0.346743295019157	18
Native_American	CLM	f	0.25	0.275330396475771	18
European	CLM	f	0.17	0.187224669603524	18
African	CLM	f	0.034	0.0374449339207048	18
Native_American	CLM	m	0	0	18
European	CLM	m	0.5	0.457875457875458	18
African	CLM	m	0.046	0.0421245421245421	18
Native_American	MXL	f	0.465	0.497858672376874	18
European	MXL	f	0	0	18
African	MXL	f	0.002	0.00214132762312634	18
Native_American	MXL	m	0	0	18
European	MXL	m	0.488	0.458646616541353	18
African	MXL	m	0.044	0.0413533834586466	18
Native_American	PEL	f	0.473	0.471115537848606	18
European	PEL	f	0	0	18
