IID	sex	pop
NA19653	female	MXL
NA19658	male	MXL
NA19660	female	MXL
NA19665	female	MXL
NA19672	female	MXL
NA19677	female	MXL
NA19723	male	MXL
NA19728	female	MXL
NA19730	female	MXL
NA19735	male	MXL
NA19742	male	MXL
NA19747	male	MXL
NA19754	female	MXL
NA19759	male	MXL
NA19761	female	MXL
NA19684	female	MXL
NA20294	female	ASW
NA20299	female	ASW
NA20302	male	ASW
NA20314	female	ASW
NA20129	female	ASW
NA20282	female	ASW
NA20287	female	ASW
NA19780	male	MXL
NA19785	female	MXL
NA19792	male	MXL
NA19901	female	ASW
NA19913	female	ASW
NA19918	male	ASW
NA19766	female	MXL
NA19773	female	MXL
NA19778	male	MXL
NA20319	female	ASW
NA20321	female	ASW
NA20333	female	ASW
NA19920	male	ASW
NA19982	male	ASW
NA19797	female	MXL
NA19836	female	ASW
NA20340	male	ASW
NA20345	male	ASW
NA20357	female	ASW
NA20364	female	ASW
